№ вагона;Собственник вагона;аренда;куда в ремонт;рамы;КП;Ст. отправления;Дорога отпр;Грузоотправитель (факт);Ст. назначения;Дорога назн;Грузополучатель (факт);Ст. операции;Дорога операции;Груз;Вес;№ накладной;Дата отправки вагона;Дата операции;Дата прибытия;Дата прибытия ПЛАН;срок доставки ЭТРАН
95120861;116м3;#N/A;#N/A;БР Китай;ТОНКОМЕР;ШИПОВКА;КЛГ;;ЛУГОВОЕ-НОВОЕ;КЛГ;;ЛУГОВОЕ-НОВОЕ;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;;;01.05.2019;;04.06.2019;
95011367;116м3;#N/A;#N/A;БР Китай;норм;ДЖАЛТЫР;КЗХ;;ШИПОВКА;КЛГ;;ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;69;;;21.05.2019;;29.05.2019;
95875381;СТА 116м3;КВСЗ 1 партия;#N/A;#N/A;#N/A;ИЧНЯ;ЮЖН;;ДРАУГИСТЕ-ПОРТ(ЭКСП.);ЛИТ;;БАХМАЧ-ПАССАЖИРСКИЙ;ЮЗП;ЗЕРНО КУКУРУЗЫ;70;;;22.05.2019;;;
95044319;116м3;#N/A;#N/A;БР Китай;норм;ТАЛОВАЯ;ЮВС;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ТАЛОВАЯ;ЮВС;ЗЕРНО БОБОВ;69;27242946;21.05.2019;21.05.2019;;31.05.2019;01.06.2019
95097283;116м3;#N/A;#N/A;БР Китай;норм;ХАВА;ЮВС;"ООО ""Аквилон""";НЕВЕЛЬ 2;ОКТ;"Общество с ограниченной ответственностью ""Великолукский свиноводческий комплекс""";НЕВЕЛЬ 2;ОКТ;ШРОТ, СОДЕРЖАЩИЙ НЕ БОЛЕЕ 1,5% МАСЛА И НЕ БОЛЕЕ 11% ВЛАГИ;67;ЭИ879755;03.05.2019;14.05.2019;12.05.2019;11.05.2019;20.05.2019
95042263;116м3;#N/A;#N/A;#N/A;норм;БОЛОТНАЯ;ЗСБ;ООО «Болотноехлебопродукт»;СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";СМОРГОНЬ;БЕЛ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;70;27186522;09.05.2019;22.05.2019;20.05.2019;22.05.2019;31.05.2019
95098943;116м3;#N/A;#N/A;#N/A;норм;НЕЖЕГОЛЬ;ЮВС;"ООО ""БАЛТСЕРВИС""";МЕЛЕУЗ;КБШ;"Общество с ограниченной ответственностью ""РЕЗЕРВ-ЛТД""";МЕЛЕУЗ;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ782781;08.05.2019;20.05.2019;19.05.2019;;17.05.2019
95042248;116м3;#N/A;#N/A;#N/A;норм;ЛУГОВОЕ-НОВОЕ;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ604686;18.05.2019;19.05.2019;19.05.2019;25.05.2019;21.05.2019
95874566;СТА 116м3;КВСЗ 1 партия;#N/A;#N/A;#N/A;СМОРГОНЬ;БЕЛ;;БРУЗГИ (ЭКСП.);БЕЛ;;МОЛОДЕЧНО;БЕЛ;ЖМЫХИ;69;;;22.05.2019;;24.05.2019;
95009452;116м3;#N/A;#N/A;БР Китай;норм;БЕЛОЕ ОЗЕРО;КБШ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЛУЖСКАЯ;ОКТ;ПШЕНИЦА;70;ЭИ924911;05.05.2019;13.05.2019;;16.05.2019;22.05.2019
